Problem,J/I/I,1/I,ExpVar
20,8.700134448,8.676959298,8.691172748
21,5.972734846,5.973796128,5.906955472
22,5.109439158,5.12083113,5.168837072
23,4.89584615,4.903606709,4.844391661
24,4.815611596,4.814324419,4.858182325
25,5.115585326,5.122142205,5.150157426
26,5.515761963,5.537234771,5.495446474
27,6.693958589,6.703674924,6.730430027
28,8.719825896,8.674004661,8.670838962
29,5.800398353,5.828637378,5.805962254
30,8.768254917,8.72237225,8.671947291
31,9.410649276,9.426928342,9.394191065
32,5.129274321,5.140821204,5.042011593
33,5.94137781,5.940049736,5.850606449
34,6.768518423,6.733531973,6.775201614
35,7.866357008,7.874833766,7.830014526
36,8.247693004,8.305694542,8.378535142
37,6.085386231,6.075661435,6.023753735
38,5.200074158,5.202217459,5.31127833
39,5.807595956,5.815219468,5.879278712
40,8.671359922,8.640936923,8.640270441
41,4.866832632,4.862991149,4.84473915
42,11.36267535,11.23775262,11.28352073
43,5.28748342,5.292330292,5.339453001
44,4.78851416,4.783247753,4.831940823
45,8.685179104,8.558183001,8.520193687
46,5.626203816,5.602899891,5.61609775
47,7.340925013,7.384659533,7.299283423
48,7.144287461,7.164928819,7.173740038
49,5.780163513,5.784016469,5.785127072
