Problem,Dim,J/I/I,1/I,ExpVar
20,0,9.287711668,9.284435537,9.276545297
21,0,9.869534074,9.842894563,9.784270406
22,0,12.90934111,12.66754271,12.69764516
23,0,6.127948093,6.116732127,6.0585121
24,0,10.00933974,10.19808111,10.0813443
25,0,10.05884005,10.2746635,10.00583826
26,0,6.612311175,6.604247049,6.645890698
27,0,12.16389683,12.13648526,12.11836533
28,0,7.200327948,7.490603091,7.234132597
29,0,8.266508513,8.310536314,8.393576846
30,0,8.810630066,8.70003597,8.924096644
31,0,7.400791661,7.37425355,7.325140593
32,0,8.069550154,8.072359239,8.198465792
33,0,7.135113906,7.015744127,7.01242578
34,0,8.504668619,8.255306272,8.423532925
35,0,9.227894075,9.237828898,9.126263055
36,0,7.239451057,7.193684435,7.230646709
37,0,9.420903895,9.285015723,9.460214565
38,0,9.536574157,9.465107101,9.494649065
39,0,7.582186137,7.465676378,7.546187317
40,0,9.448215064,9.337688032,9.509775343
41,0,10.34456888,10.38807307,10.3848163
42,0,6.326170805,6.343591024,6.379384272
43,0,8.274282846,8.02487657,8.322807188
44,0,18.55865731,18.65138976,18.50829911
45,0,7.709965026,7.656806434,7.781352485
46,0,8.260835803,8.378981579,8.252659845
47,0,12.18346427,12.09745563,12.08472825
48,0,9.383907306,9.454036104,9.461369878
49,0,12.74290388,12.70051641,12.51392885
20,1,6.989406246,6.910806367,6.937452113
21,1,7.923920712,7.880338512,7.932053394
22,1,7.20929812,7.105432873,7.218881354
23,1,6.348371548,6.363871907,6.264526828
24,1,10.97127307,10.98604964,10.97090774
25,1,11.13303494,11.4317085,11.30094547
26,1,10.35113989,10.40128771,10.47329065
27,1,11.73711647,12.12717654,11.89460129
28,1,8.451576302,8.348699263,8.390669146
29,1,6.447347273,6.514729821,6.494717493
30,1,8.297777557,8.172928783,8.313966556
31,1,11.76046086,11.55488821,11.64279956
32,1,7.947902384,7.880057015,7.985924979
33,1,7.947623147,7.846796797,7.84731753
34,1,10.95332897,10.78051317,10.97899087
35,1,7.501317496,7.61931176,7.463120105
36,1,8.572264391,8.495358005,8.389083306
37,1,9.212302677,9.21337773,9.053470655
38,1,6.829040184,6.792614605,6.873609269
39,1,8.984064326,8.872059315,8.880190361
40,1,6.691953754,6.742580694,6.732521155
41,1,6.742323987,6.750594758,6.749606098
42,1,7.356683528,7.444397661,7.412222206
43,1,7.91783427,7.775130994,7.888830572
44,1,24.3347148,24.22039673,24.77846925
45,1,8.377060958,8.445472827,8.548019348
46,1,8.705126585,8.863706639,8.777570026
47,1,12.0842084,12.32056808,12.36546113
48,1,6.858994857,6.991447639,6.779437535
49,1,12.63561921,12.69560024,12.51741935
